timestamp_s,x_m,y_m,z_m,pixel_u,pixel_v,confidence,snr,circularity,depth_source,detected
1777992400.247775,-0.496654,0.953877,2.261000,327.106384,423.414886,0.628649,4.592983,0.841974,depth,1
1777992400.258900,-0.499290,0.958939,2.273000,327.106384,423.414886,0.628890,4.605018,0.841974,depth,1
1777992400.270024,-0.497533,0.955564,2.265000,327.106384,423.414886,0.629076,4.614326,0.841974,depth,1
1777992400.281148,-0.500169,0.960627,2.277000,327.106384,423.414886,0.629136,4.617310,0.841974,depth,1
1777992400.292274,-0.497533,0.955564,2.265000,327.106384,423.414886,0.629423,4.631686,0.841974,depth,1
1777992400.303398,-0.496654,0.953877,2.261000,327.106384,423.414886,0.628076,4.564311,0.841974,depth,1
1777992400.314522,-0.502805,0.965689,2.289000,327.106384,423.414886,0.627446,4.532822,0.841974,depth,1
1777992400.325647,-0.502805,0.965689,2.289000,327.106384,423.414886,0.629105,4.615767,0.841974,depth,1
1777992400.336771,-0.501926,0.964002,2.285000,327.106384,423.414886,0.629043,4.612684,0.841974,depth,1
1777992400.347895,-0.496654,0.953877,2.261000,327.106384,423.414886,0.628075,4.564282,0.841974,depth,1
1777992400.359020,-0.503683,0.967377,2.293000,327.106384,423.414886,0.628568,4.588935,0.841974,depth,1
1777992400.370145,-0.501926,0.964002,2.285000,327.106384,423.414886,0.629203,4.620663,0.841974,depth,1
1777992400.381269,-0.502805,0.965689,2.289000,327.106384,423.414886,0.627603,4.540689,0.841974,depth,1
1777992400.392393,-0.503683,0.967377,2.293000,327.106384,423.414886,0.628028,4.561904,0.841974,depth,1
1777992400.403518,-0.501926,0.964002,2.285000,327.106384,423.414886,0.630036,4.662349,0.841974,depth,1
1777992400.414642,-0.500169,0.960627,2.277000,327.106384,423.414886,0.628848,4.602942,0.841974,depth,1
1777992400.425766,-0.497533,0.955564,2.265000,327.106384,423.414886,0.628160,4.568516,0.841974,depth,1
1777992400.436891,-0.492082,0.946484,2.242000,327.183136,423.534790,0.631789,4.541654,0.852391,depth,1
1777992400.448015,-0.501926,0.964002,2.285000,327.106384,423.414886,0.628731,4.597068,0.841974,depth,1
1777992400.459139,-0.502805,0.965689,2.289000,327.106384,423.414886,0.628013,4.561164,0.841974,depth,1
1777992400.470264,-0.500169,0.960627,2.277000,327.106384,423.414886,0.627975,4.559251,0.841974,depth,1
1777992400.481388,-0.501926,0.964002,2.285000,327.106384,423.414886,0.628432,4.582121,0.841974,depth,1
1777992400.492512,-0.501926,0.964002,2.285000,327.106384,423.414886,0.628201,4.570582,0.841974,depth,1
1777992400.503638,-0.502805,0.965689,2.289000,327.106384,423.414886,0.627714,4.546240,0.841974,depth,1
1777992400.514761,-0.500169,0.960627,2.277000,327.106384,423.414886,0.627644,4.542731,0.841974,depth,1
1777992400.525886,-0.506319,0.972440,2.305000,327.106384,423.414886,0.628180,4.569513,0.841974,depth,1
1777992400.537010,-0.502805,0.965689,2.289000,327.106384,423.414886,0.628410,4.581029,0.841974,depth,1
1777992400.548135,-0.499290,0.958939,2.273000,327.106384,423.414886,0.628004,4.560742,0.841974,depth,1
1777992400.559258,-0.508077,0.975815,2.313000,327.106384,423.414886,0.627369,4.528991,0.841974,depth,1
1777992400.570384,-0.508077,0.975815,2.313000,327.106384,423.414886,0.628253,4.573189,0.841974,depth,1
1777992400.581508,-0.502805,0.965689,2.289000,327.106384,423.414886,0.628339,4.577476,0.841974,depth,1
1777992400.592631,-0.493618,0.949439,2.249000,327.183136,423.534790,0.632722,4.588298,0.852391,depth,1
1777992400.603756,-0.496654,0.953877,2.261000,327.106384,423.414886,0.628688,4.594916,0.841974,depth,1
1777992400.614880,-0.502805,0.965689,2.289000,327.106384,423.414886,0.628717,4.596359,0.841974,depth,1
1777992400.626004,-0.503683,0.967377,2.293000,327.106384,423.414886,0.627528,4.536941,0.841974,depth,1
1777992400.637129,-0.497130,0.956194,2.265000,327.183136,423.534790,0.631513,4.527853,0.852391,depth,1
1777992400.648253,-0.500169,0.960627,2.277000,327.106384,423.414886,0.626951,4.508083,0.841974,depth,1
1777992400.659377,-0.508077,0.975815,2.313000,327.106384,423.414886,0.629276,4.624302,0.841974,depth,1
1777992400.670502,-0.494897,0.950502,2.253000,327.106384,423.414886,0.628198,4.570438,0.841974,depth,1
1777992400.681626,-0.502805,0.965689,2.289000,327.106384,423.414886,0.627771,4.549071,0.841974,depth,1
1777992400.692750,-0.501926,0.964002,2.285000,327.106384,423.414886,0.628761,4.598567,0.841974,depth,1
