timestamp_s,depth_m,pixel_u,pixel_v
1777992385.125186,2.325000,318.083344,277.133850
1777992385.136305,2.313000,319.226471,279.445282
1777992385.147424,2.313000,320.438477,281.476929
1777992385.158544,2.321000,321.867615,283.434998
1777992385.169663,2.293000,323.000000,285.500000
1777992385.180782,2.277000,324.361298,287.165497
1777992385.191901,2.273000,325.822357,288.901306
1777992385.203020,2.301000,327.203461,290.668823
1777992385.214139,2.289000,328.577026,292.128723
1777992385.225258,2.301000,329.942322,293.493591
1777992385.236377,2.305000,331.446655,294.764435
1777992385.247496,2.289000,332.809204,296.122803
1777992385.258615,2.305000,334.237213,297.222900
1777992385.269734,2.301000,335.530487,298.223572
1777992385.280853,2.305000,336.948883,299.314941
1777992385.291971,2.321000,338.362305,300.256714
1777992385.303091,2.305000,339.770111,300.988495
1777992385.314209,2.293000,341.022980,301.804596
1777992385.325328,2.313000,342.452942,302.470581
1777992385.336447,2.289000,343.612396,303.000000
1777992385.347566,2.313000,344.756866,303.482361
1777992385.358684,2.293000,346.049988,304.011108
1777992385.369803,2.301000,347.358673,304.428864
1777992385.380922,2.293000,348.371643,304.936768
1777992385.392040,2.305000,349.408661,305.257996
1777992385.403160,2.305000,350.494263,305.567047
1777992385.414278,2.301000,351.607086,305.929230
1777992385.425396,2.305000,352.607269,306.375488
1777992385.436515,2.301000,353.591339,306.742004
1777992385.447634,2.301000,354.632050,306.903473
1777992385.458752,2.289000,355.623840,307.024200
1777992385.469871,2.301000,356.466309,307.291443
1777992385.480989,2.289000,357.432037,307.553070
1777992385.492107,2.289000,358.047363,307.661407
1777992385.503227,2.301000,358.830658,307.841370
1777992385.514345,2.289000,359.484161,307.817505
1777992385.525463,2.301000,360.122223,307.883331
1777992385.536582,2.301000,360.544617,307.837891
1777992385.547700,2.301000,361.067383,307.816040
1777992385.558818,2.305000,361.545624,307.711365
1777992385.569937,2.301000,361.786377,307.714539
1777992385.581055,2.301000,362.310486,307.457153
1777992385.592173,2.293000,362.453339,307.215240
