t_s,frame_number,hw_ts_ms,host_dt_ms,missed_total
6.554,570,1777799536950.816,11.126,2
6.565,571,1777799536961.943,11.127,2
6.576,572,1777799536973.069,11.126,2
6.587,573,1777799536984.196,11.126,2
6.598,574,1777799536995.323,11.127,2
6.610,575,1777799537006.449,11.126,2
6.621,576,1777799537017.575,11.126,2
6.632,577,1777799537028.703,11.127,2
6.643,578,1777799537039.829,11.126,2
6.654,579,1777799537050.955,11.126,2
6.665,580,1777799537062.082,11.127,2
6.677,581,1777799537073.208,11.126,2
6.688,582,1777799537084.335,11.126,2
6.699,583,1777799537095.462,11.127,2
6.710,584,1777799537106.588,11.126,2
6.721,585,1777799537117.715,11.126,2
6.732,586,1777799537128.842,11.127,2
6.743,587,1777799537139.968,11.126,2
6.754,588,1777799537151.094,11.126,2
6.765,589,1777799537162.221,11.127,2
6.777,590,1777799537173.348,11.126,2
6.788,591,1777799537184.474,11.126,2
6.799,592,1777799537195.601,11.127,2
6.810,593,1777799537206.728,11.126,2
6.821,594,1777799537217.854,11.126,2
6.832,595,1777799537228.980,11.126,2
6.843,596,1777799537240.107,11.127,2
6.855,597,1777799537251.233,11.126,2
6.866,598,1777799537262.360,11.126,2
6.877,599,1777799537273.487,11.127,2
6.888,600,1777799537284.613,11.126,2
6.899,601,1777799537295.739,11.126,2
6.910,602,1777799537306.866,11.127,2
6.922,603,1777799537317.993,11.126,2
6.933,604,1777799537329.119,11.126,2
6.944,605,1777799537340.246,11.127,2
6.954,606,1777799537351.372,11.126,2
6.966,607,1777799537362.499,11.126,2
6.977,608,1777799537373.626,11.127,2
6.988,609,1777799537384.752,11.126,2
6.999,610,1777799537395.878,11.126,2
7.010,611,1777799537407.005,11.127,2
7.021,612,1777799537418.131,11.126,2
7.033,613,1777799537429.258,11.126,2
7.044,614,1777799537440.385,11.127,2
7.055,615,1777799537451.511,11.126,2
7.066,616,1777799537462.637,11.126,2
7.077,617,1777799537473.764,11.127,2
7.088,618,1777799537484.891,11.126,2
7.099,619,1777799537496.017,11.126,2
7.110,620,1777799537507.144,11.127,2
7.121,621,1777799537518.270,11.126,2
7.132,622,1777799537529.396,11.126,2
7.144,623,1777799537540.523,11.127,2
7.155,624,1777799537551.650,11.126,2
7.166,625,1777799537562.776,11.126,2
7.177,626,1777799537573.903,11.127,2
7.188,627,1777799537585.029,11.126,2
7.200,628,1777799537596.155,11.126,2
7.210,629,1777799537607.282,11.127,2
7.221,630,1777799537618.408,11.126,2
7.233,631,1777799537629.535,11.126,2
7.244,632,1777799537640.662,11.127,2
7.255,633,1777799537651.788,11.126,2
7.266,634,1777799537662.914,11.126,2
7.277,635,1777799537674.040,11.126,2
7.289,636,1777799537685.167,11.127,2
7.299,637,1777799537696.293,11.126,2
7.311,638,1777799537707.420,11.126,2
7.322,639,1777799537718.547,11.127,2
7.333,640,1777799537729.673,11.126,2
7.344,641,1777799537740.799,11.126,2
7.355,642,1777799537751.926,11.127,2
7.366,643,1777799537763.052,11.126,2
7.377,644,1777799537774.178,11.126,2
7.388,645,1777799537785.306,11.127,2
7.400,646,1777799537796.432,11.126,2
7.411,647,1777799537807.558,11.126,2
7.422,648,1777799537818.685,11.127,2
7.433,649,1777799537829.811,11.126,2
7.445,650,1777799537840.937,11.126,2
7.456,651,1777799537852.064,11.127,2
7.467,652,1777799537863.190,11.126,2
7.477,653,1777799537874.317,11.126,2
7.489,654,1777799537885.444,11.127,2
7.500,655,1777799537896.571,11.126,2
7.511,656,1777799537907.697,11.126,2
7.522,657,1777799537918.824,11.127,2
7.533,658,1777799537929.951,11.126,2
7.544,659,1777799537941.077,11.126,2
7.556,660,1777799537952.205,11.127,2
7.566,661,1777799537963.331,11.126,2
7.578,662,1777799537974.458,11.126,2
7.589,663,1777799537985.585,11.127,2
7.600,664,1777799537996.711,11.126,2
7.611,665,1777799538007.838,11.126,2
7.622,666,1777799538018.965,11.127,2
7.634,667,1777799538030.092,11.126,2
7.645,668,1777799538041.218,11.126,2
7.656,669,1777799538052.345,11.127,2
7.667,670,1777799538063.472,11.126,2
7.678,671,1777799538074.598,11.126,2
7.689,672,1777799538085.726,11.127,2
7.700,673,1777799538096.852,11.126,2
7.711,674,1777799538107.978,11.126,2
7.722,675,1777799538119.105,11.126,2
7.733,676,1777799538130.232,11.127,2
7.745,677,1777799538141.359,11.126,2
7.756,678,1777799538152.485,11.126,2
7.767,679,1777799538163.612,11.127,2
7.778,680,1777799538174.739,11.126,2
7.789,681,1777799538185.865,11.126,2
7.800,682,1777799538196.992,11.127,2
7.812,683,1777799538208.119,11.126,2
7.823,684,1777799538219.245,11.126,2
7.834,685,1777799538230.373,11.127,2
7.845,686,1777799538241.499,11.126,2
7.856,687,1777799538252.625,11.126,2
7.867,688,1777799538263.753,11.127,2
7.878,689,1777799538274.879,11.126,2
7.889,690,1777799538286.006,11.126,2
7.900,691,1777799538297.133,11.127,2
7.912,692,1777799538308.259,11.126,2
7.923,693,1777799538319.386,11.126,2
