timestamp_s,x_m,y_m,z_m,pixel_u,pixel_v,confidence,snr,circularity,depth_source,detected
1777901230.464153,-0.299632,0.107376,2.686000,373.731934,258.703949,0.603027,3.017164,0.856710,depth,1
1777901230.475280,-0.299539,0.106707,2.681000,373.657135,258.628571,0.608513,3.027158,0.869924,depth,1
1777901230.486408,-0.300330,0.106544,2.686000,373.619720,258.570435,0.613928,3.049375,0.882351,depth,1
1777901230.497535,-0.297751,0.106070,2.665000,373.657135,258.628571,0.608073,3.005174,0.869924,depth,1
1777901230.508662,-0.298422,0.105748,2.665000,373.548615,258.576385,0.618614,3.035137,0.894779,depth,1
1777901230.519790,-0.297412,0.105829,2.665000,373.712006,258.589569,0.613083,3.040674,0.880674,depth,1
1777901230.530917,-0.301001,0.106782,2.692000,373.619720,258.570435,0.613440,3.024993,0.882351,depth,1
1777901230.542044,-0.298404,0.106936,2.675000,373.731934,258.703949,0.603419,3.036752,0.856710,depth,1
1777901230.553172,-0.297622,0.106208,2.665000,373.678009,258.650787,0.612734,3.023197,0.880674,depth,1
1777901230.564299,-0.298294,0.106761,2.670000,373.659760,258.708038,0.607819,3.017081,0.868692,depth,1
1777901230.575426,-0.299074,0.107176,2.681000,373.731934,258.703949,0.602963,3.013949,0.856710,depth,1
1777901230.586554,-0.299522,0.107201,2.681000,373.659760,258.708038,0.607840,3.018125,0.868692,depth,1
1777901230.597681,-0.297289,0.106536,2.665000,373.731934,258.703949,0.602965,3.014037,0.856710,depth,1
1777901230.608808,-0.298404,0.106936,2.675000,373.731934,258.703949,0.603275,3.029564,0.856710,depth,1
1777901230.619936,-0.295624,0.105501,2.648000,373.694244,258.645966,0.607912,3.021733,0.868692,depth,1
1777901230.631063,-0.300301,0.107616,2.692000,373.731934,258.703949,0.603459,3.038750,0.856710,depth,1
1777901230.642190,-0.296620,0.106296,2.659000,373.731934,258.703949,0.603574,3.044490,0.856710,depth,1
1777901230.653318,-0.297751,0.106070,2.665000,373.657135,258.628571,0.608776,3.040322,0.869924,depth,1
1777901230.664445,-0.299539,0.106707,2.681000,373.657135,258.628571,0.608850,3.044016,0.869924,depth,1
1777901230.675572,-0.298404,0.106936,2.675000,373.731934,258.703949,0.602902,3.010909,0.856710,depth,1
1777901230.686700,-0.299632,0.107376,2.686000,373.731934,258.703949,0.603230,3.027281,0.856710,depth,1
1777901230.697827,-0.300097,0.106906,2.686000,373.657135,258.628571,0.608515,3.027278,0.869924,depth,1
1777901230.708954,-0.297289,0.106536,2.665000,373.731934,258.703949,0.603472,3.039413,0.856710,depth,1
1777901230.720082,-0.298965,0.106815,2.681000,373.749420,258.645966,0.608120,3.032169,0.868692,depth,1
1777901230.731210,-0.301310,0.107841,2.697000,373.659760,258.708038,0.608444,3.048337,0.868692,depth,1
1777901230.742337,-0.296620,0.106296,2.659000,373.731934,258.703949,0.602883,3.009947,0.856710,depth,1
1777901230.753464,-0.298310,0.106269,2.670000,373.657135,258.628571,0.608751,3.039048,0.869924,depth,1
1777901230.764591,-0.299074,0.107176,2.681000,373.731934,258.703949,0.603418,3.036672,0.856710,depth,1
1777901230.775718,-0.296620,0.106296,2.659000,373.731934,258.703949,0.603452,3.038386,0.856710,depth,1
1777901230.786846,-0.298310,0.106269,2.670000,373.657135,258.628571,0.607979,3.000475,0.869924,depth,1
1777901230.797974,-0.298294,0.106761,2.670000,373.659760,258.708038,0.607946,3.023447,0.868692,depth,1
1777901230.809101,-0.300097,0.106906,2.686000,373.657135,258.628571,0.608506,3.026823,0.869924,depth,1
1777901230.820229,-0.299632,0.107376,2.686000,373.731934,258.703949,0.603473,3.039450,0.856710,depth,1
1777901230.831356,-0.297289,0.106536,2.665000,373.731934,258.703949,0.602920,3.011765,0.856710,depth,1
1777901230.842483,-0.297751,0.106070,2.665000,373.657135,258.628571,0.608149,3.008962,0.869924,depth,1
1777901230.853611,-0.297402,0.106798,2.670000,373.803772,258.713959,0.625380,3.475723,0.889663,depth,1
1777901230.864738,-0.299074,0.107176,2.681000,373.731934,258.703949,0.603339,3.032752,0.856710,depth,1
1777901230.875865,-0.297289,0.106536,2.665000,373.731934,258.703949,0.603040,3.017767,0.856710,depth,1
1777901230.886993,-0.298868,0.106468,2.675000,373.657135,258.628571,0.608302,3.016640,0.869924,depth,1
1777901230.898120,-0.295624,0.105501,2.648000,373.694244,258.645966,0.608276,3.039926,0.868692,depth,1
1777901230.909247,-0.298541,0.105910,2.670000,373.619720,258.570435,0.613576,3.031762,0.882351,depth,1
1777901230.920374,-0.300097,0.106906,2.686000,373.657135,258.628571,0.608068,3.004934,0.869924,depth,1
1777901230.931502,-0.296964,0.105473,2.659000,373.676056,258.570435,0.613936,3.049762,0.882351,depth,1
1777901230.942629,-0.297289,0.106536,2.665000,373.731934,258.703949,0.603593,3.045422,0.856710,depth,1
1777901230.953756,-0.297289,0.106536,2.665000,373.731934,258.703949,0.603302,3.030914,0.856710,depth,1
1777901230.964884,-0.299632,0.107376,2.686000,373.731934,258.703949,0.603117,3.021617,0.856710,depth,1
1777901230.976011,-0.297982,0.105711,2.665000,373.619720,258.570435,0.613544,3.030162,0.882351,depth,1
1777901230.987138,-0.302667,0.107822,2.709000,373.657135,258.628571,0.608400,3.021532,0.869924,depth,1
1777901230.998266,-0.299632,0.107376,2.686000,373.731934,258.703949,0.603037,3.017640,0.856710,depth,1
1777901231.009393,-0.297522,0.106178,2.665000,373.694244,258.645966,0.607845,3.018408,0.868692,depth,1
1777901231.020520,-0.299074,0.107176,2.681000,373.731934,258.703949,0.603005,3.016014,0.856710,depth,1
1777901231.031648,-0.298296,0.106576,2.675000,373.749420,258.645966,0.607496,3.000928,0.868692,depth,1
1777901231.042775,-0.299539,0.106707,2.681000,373.657135,258.628571,0.608895,3.046287,0.869924,depth,1
1777901231.053902,-0.294835,0.105657,2.643000,373.731934,258.703949,0.603482,3.039901,0.856710,depth,1
1777901231.065030,-0.298193,0.105910,2.670000,373.676056,258.570435,0.613464,3.026160,0.882351,depth,1
1777901231.076157,-0.297289,0.106536,2.665000,373.731934,258.703949,0.602925,3.012034,0.856710,depth,1
1777901231.087284,-0.298200,0.106103,2.665000,373.584503,258.633789,0.614058,3.055855,0.882351,depth,1
1777901231.098412,-0.299990,0.106740,2.681000,373.584503,258.633789,0.613496,3.027752,0.882351,depth,1
1777901231.109539,-0.300301,0.107616,2.692000,373.731934,258.703949,0.603243,3.027953,0.856710,depth,1
1777901231.120666,-0.299632,0.107376,2.686000,373.731934,258.703949,0.602853,3.008442,0.856710,depth,1
1777901231.131794,-0.296620,0.106296,2.659000,373.731934,258.703949,0.603332,3.032395,0.856710,depth,1
1777901231.142921,-0.299632,0.107376,2.686000,373.731934,258.703949,0.603491,3.040344,0.856710,depth,1
1777901231.154048,-0.299074,0.107176,2.681000,373.731934,258.703949,0.603287,3.030134,0.856710,depth,1
1777901231.165176,-0.299074,0.107176,2.681000,373.731934,258.703949,0.602833,3.007438,0.856710,depth,1
1777901231.176303,-0.297081,0.105832,2.659000,373.657135,258.628571,0.608716,3.037327,0.869924,depth,1
1777901231.187430,-0.297738,0.106377,2.670000,373.749420,258.645966,0.607679,3.010114,0.868692,depth,1
1777901231.198558,-0.297289,0.106536,2.665000,373.731934,258.703949,0.603703,3.050952,0.856710,depth,1
1777901231.209685,-0.299890,0.106595,2.686000,373.690491,258.578583,0.636897,3.503141,0.917085,depth,1
1777901231.220812,-0.299632,0.107376,2.686000,373.731934,258.703949,0.603192,3.025397,0.856710,depth,1
1777901231.231940,-0.297634,0.105711,2.665000,373.676056,258.570435,0.613525,3.029223,0.882351,depth,1
1777901231.243067,-0.296852,0.105117,2.659000,373.694244,258.512634,0.608451,3.048721,0.868692,depth,1
1777901231.254194,-0.297289,0.106536,2.665000,373.731934,258.703949,0.603625,3.047026,0.856710,depth,1
1777901231.265322,-0.298404,0.106936,2.675000,373.731934,258.703949,0.602457,2.988633,0.856710,depth,1
1777901231.276449,-0.298404,0.106936,2.675000,373.731934,258.703949,0.603422,3.036867,0.856710,depth,1
1777901231.287576,-0.298200,0.106103,2.665000,373.584503,258.633789,0.613708,3.038362,0.882351,depth,1
1777901231.298704,-0.297529,0.105864,2.659000,373.584503,258.633789,0.613770,3.041495,0.882351,depth,1
1777901231.309831,-0.297847,0.106736,2.670000,373.731934,258.703949,0.602787,3.005151,0.856710,depth,1
1777901231.320958,-0.300081,0.107401,2.686000,373.659760,258.708038,0.607388,2.995550,0.868692,depth,1
1777901231.332086,-0.301310,0.107841,2.697000,373.659760,258.708038,0.607898,3.021037,0.868692,depth,1
1777901231.343213,-0.301536,0.107483,2.697000,373.623596,258.650787,0.612988,3.035930,0.880674,depth,1
1777901231.354340,-0.297311,0.105473,2.659000,373.619720,258.570435,0.613894,3.047692,0.882351,depth,1
1777901231.365467,-0.297751,0.106070,2.665000,373.657135,258.628571,0.608742,3.038628,0.869924,depth,1
1777901231.376595,-0.301440,0.106627,2.697000,373.638885,258.513885,0.618504,3.029625,0.894779,depth,1
1777901231.387722,-0.298200,0.106103,2.665000,373.584503,258.633789,0.613254,3.015677,0.882351,depth,1
1777901231.398849,-0.300768,0.107145,2.692000,373.657135,258.628571,0.608864,3.044715,0.869924,depth,1
1777901231.409977,-0.302667,0.107822,2.709000,373.657135,258.628571,0.608245,3.013764,0.869924,depth,1
1777901231.421104,-0.298868,0.106468,2.675000,373.657135,258.628571,0.608530,3.028037,0.869924,depth,1
