kind,hw_timestamp_s,host_timestamp_s,unified_time_s,x,y,z
gyro,1777992390.862357,26353.831921,1777992390.862357,-0.000532,0.005325,-0.001597
accel,1777992390.874149,26353.843421,1777992390.874149,0.411879,-9.110377,1.255251
gyro,1777992390.872363,26353.843421,1777992390.872363,0.000000,0.002662,-0.005859
accel,1777992390.885885,26353.854337,1777992390.885885,0.411879,-9.110377,1.274864
gyro,1777992390.882367,26353.854337,1777992390.882367,0.003728,0.003728,0.000532
accel,1777992390.893710,26353.865340,1777992390.893710,0.431493,-9.110377,1.274864
gyro,1777992390.892373,26353.865340,1777992390.892373,0.002662,0.001597,-0.003196
accel,1777992390.905446,26353.876452,1777992390.905446,0.411879,-9.090764,1.255251
gyro,1777992390.907381,26353.876452,1777992390.907381,-0.002129,-0.002129,-0.004793
accel,1777992390.917183,26353.887730,1777992390.917183,0.411879,-9.110377,1.235638
gyro,1777992390.917386,26353.887730,1777992390.917386,0.006391,0.004793,0.000000
accel,1777992390.928921,26353.898710,1777992390.928921,0.411879,-9.129991,1.235638
gyro,1777992390.927392,26353.898710,1777992390.927392,0.003728,0.002662,-0.001597
accel,1777992390.940659,26353.909837,1777992390.940659,0.411879,-9.110377,1.225831
gyro,1777992390.937397,26353.909837,1777992390.937397,0.004793,-0.000532,-0.001065
accel,1777992390.952396,26353.921014,1777992390.952396,0.411879,-9.110377,1.255251
gyro,1777992390.952405,26353.921014,1777992390.952405,0.005859,-0.002662,-0.001597
accel,1777992390.960221,26353.932171,1777992390.960221,0.411879,-9.129991,1.235638
gyro,1777992390.962411,26353.932171,1777992390.962411,0.000532,0.004260,0.002129
accel,1777992390.971958,26353.943220,1777992390.971958,0.402073,-9.110377,1.225831
gyro,1777992390.972415,26353.943220,1777992390.972415,-0.000532,0.003196,-0.001597
accel,1777992390.983695,26353.954439,1777992390.983695,0.431493,-9.090764,1.255251
gyro,1777992390.982421,26353.954439,1777992390.982421,0.003196,-0.002129,-0.002129
accel,1777992390.995432,26353.965490,1777992390.995432,0.411879,-9.110377,1.255251
gyro,1777992390.992427,26353.965490,1777992390.992427,0.002129,0.002129,-0.003728
accel,1777992391.007170,26353.976587,1777992391.007170,0.431493,-9.110377,1.255251
gyro,1777992391.007434,26353.976587,1777992391.007434,0.001065,0.003196,-0.005325
accel,1777992391.018907,26353.987909,1777992391.018907,0.431493,-9.129991,1.274864
gyro,1777992391.017439,26353.987909,1777992391.017439,0.002662,0.001597,-0.001597
accel,1777992391.026731,26353.998844,1777992391.026731,0.402073,-9.110377,1.255251
gyro,1777992391.027445,26353.998844,1777992391.027445,0.005859,-0.001065,-0.004260
accel,1777992391.038469,26354.009974,1777992391.038469,0.431493,-9.129991,1.255251
gyro,1777992391.037450,26354.009974,1777992391.037450,0.001597,0.000000,0.000532
accel,1777992391.050206,26354.021122,1777992391.050206,0.411879,-9.110377,1.274864
gyro,1777992391.052458,26354.021122,1777992391.052458,0.004260,-0.001065,0.000532
accel,1777992391.061943,26354.032226,1777992391.061943,0.411879,-9.149604,1.274864
gyro,1777992391.062463,26354.032226,1777992391.062463,0.000532,-0.004260,-0.003196
accel,1777992391.073680,26354.043392,1777992391.073680,0.411879,-9.129991,1.255251
gyro,1777992391.072468,26354.043392,1777992391.072468,0.003728,0.002662,-0.000532
accel,1777992391.085416,26354.054491,1777992391.085416,0.411879,-9.110377,1.235638
gyro,1777992391.082474,26354.054491,1777992391.082474,-0.001065,0.002129,-0.003196
accel,1777992391.097153,26354.065674,1777992391.097153,0.431493,-9.129991,1.235638
gyro,1777992391.092479,26354.065674,1777992391.092479,0.002129,0.002129,-0.002662
accel,1777992391.104978,26354.076858,1777992391.104978,0.431493,-9.110377,1.255251
gyro,1777992391.107486,26354.076858,1777992391.107486,0.003728,0.001065,-0.003728
accel,1777992391.116714,26354.087881,1777992391.116714,0.411879,-9.110377,1.235638
gyro,1777992391.117492,26354.087881,1777992391.117492,0.002662,-0.001065,-0.002129
accel,1777992391.128449,26354.098988,1777992391.128449,0.431493,-9.090764,1.255251
gyro,1777992391.127497,26354.098988,1777992391.127497,0.000000,-0.000532,-0.004260
accel,1777992391.140186,26354.110185,1777992391.140186,0.411879,-9.110377,1.274864
gyro,1777992391.137502,26354.110185,1777992391.137502,0.000532,0.003728,0.002662
accel,1777992391.151923,26354.121271,1777992391.151923,0.431493,-9.110377,1.235638
gyro,1777992391.152510,26354.121271,1777992391.152510,-0.004260,-0.000532,0.001065
accel,1777992391.163660,26354.132358,1777992391.163660,0.431493,-9.129991,1.274864
gyro,1777992391.162515,26354.132358,1777992391.162515,0.002129,0.001065,-0.001065
accel,1777992391.171484,26354.143544,1777992391.171484,0.411879,-9.110377,1.235638
gyro,1777992391.172521,26354.143544,1777992391.172521,0.001597,0.003196,0.000000
accel,1777992391.183221,26354.154629,1777992391.183221,0.402073,-9.129991,1.235638
gyro,1777992391.182526,26354.154629,1777992391.182526,0.000000,0.003728,-0.002662
accel,1777992391.194958,26354.165750,1777992391.194958,0.411879,-9.129991,1.235638
gyro,1777992391.192531,26354.165750,1777992391.192531,-0.001065,0.002662,-0.001597
accel,1777992391.206694,26354.176949,1777992391.206694,0.431493,-9.090764,1.235638
gyro,1777992391.207539,26354.176949,1777992391.207539,0.005325,-0.002662,-0.002129
accel,1777992391.218431,26354.188023,1777992391.218431,0.431493,-9.110377,1.255251
gyro,1777992391.217544,26354.188023,1777992391.217544,0.001597,-0.002129,-0.001597
accel,1777992391.230168,26354.199148,1777992391.230168,0.411879,-9.129991,1.255251
gyro,1777992391.227549,26354.199148,1777992391.227549,-0.001065,0.003728,-0.002129
accel,1777992391.241905,26354.210315,1777992391.241905,0.402073,-9.090764,1.225831
gyro,1777992391.237555,26354.210315,1777992391.237555,0.002129,0.004260,0.002662
accel,1777992391.249729,26354.221395,1777992391.249729,0.411879,-9.129991,1.235638
gyro,1777992391.252562,26354.221395,1777992391.252562,0.004260,0.000000,-0.000532
accel,1777992391.261467,26354.232521,1777992391.261467,0.411879,-9.110377,1.235638
gyro,1777992391.262567,26354.232521,1777992391.262567,0.004260,0.003728,-0.003196
accel,1777992391.273203,26354.243770,1777992391.273203,0.411879,-9.129991,1.255251
gyro,1777992391.272573,26354.243770,1777992391.272573,0.004260,0.003196,-0.004260
accel,1777992391.284939,26354.254769,1777992391.284939,0.451106,-9.110377,1.255251
gyro,1777992391.282577,26354.254769,1777992391.282577,-0.001597,-0.001597,-0.000532
accel,1777992391.296675,26354.265876,1777992391.296675,0.431493,-9.090764,1.235638
gyro,1777992391.292583,26354.265876,1777992391.292583,0.001597,0.000000,-0.002662
accel,1777992391.308411,26354.277198,1777992391.308411,0.431493,-9.090764,1.225831
gyro,1777992391.307590,26354.277198,1777992391.307590,0.003196,-0.005325,-0.002662
accel,1777992391.316236,26354.288186,1777992391.316236,0.411879,-9.110377,1.235638
gyro,1777992391.317596,26354.288186,1777992391.317596,0.002129,-0.000532,-0.002662
accel,1777992391.327971,26354.299278,1777992391.327971,0.431493,-9.129991,1.235638
gyro,1777992391.327600,26354.299278,1777992391.327600,0.003196,0.001597,0.000000
accel,1777992391.339710,26354.310611,1777992391.339710,0.431493,-9.110377,1.235638
gyro,1777992391.337606,26354.310611,1777992391.337606,0.005859,-0.000532,-0.004260
accel,1777992391.351447,26354.321511,1777992391.351447,0.411879,-9.129991,1.255251
gyro,1777992391.352613,26354.321511,1777992391.352613,-0.000532,0.003196,-0.002662
accel,1777992391.363184,26354.332639,1777992391.363184,0.411879,-9.149604,1.255251
gyro,1777992391.362618,26354.332639,1777992391.362618,0.004260,0.000000,0.001597
accel,1777992391.374920,26354.343951,1777992391.374920,0.431493,-9.090764,1.274864
gyro,1777992391.372624,26354.343951,1777992391.372624,0.001065,0.000532,-0.002129
accel,1777992391.386658,26354.354942,1777992391.386658,0.431493,-9.110377,1.255251
gyro,1777992391.382628,26354.354942,1777992391.382628,0.000532,-0.000532,0.000000
accel,1777992391.394482,26354.366049,1777992391.394482,0.431493,-9.090764,1.255251
gyro,1777992391.397636,26354.366049,1777992391.397636,0.000532,0.005859,0.000532
accel,1777992391.406219,26354.377319,1777992391.406219,0.411879,-9.129991,1.235638
gyro,1777992391.407641,26354.377319,1777992391.407641,0.002129,0.004793,-0.001065
accel,1777992391.417957,26354.388454,1777992391.417957,0.411879,-9.129991,1.274864
gyro,1777992391.417646,26354.388454,1777992391.417646,0.005325,0.001597,-0.003728
accel,1777992391.429694,26354.399434,1777992391.429694,0.431493,-9.129991,1.255251
gyro,1777992391.427651,26354.399434,1777992391.427651,0.002129,0.001597,0.002129
accel,1777992391.441430,26354.410641,1777992391.441430,0.411879,-9.110377,1.274864
gyro,1777992391.437656,26354.410641,1777992391.437656,0.001065,0.002662,-0.003196
accel,1777992391.453168,26354.421686,1777992391.453168,0.411879,-9.090764,1.255251
gyro,1777992391.452663,26354.421686,1777992391.452663,0.003728,0.002129,-0.001065
accel,1777992391.460992,26354.432793,1777992391.460992,0.411879,-9.110377,1.235638
gyro,1777992391.462669,26354.432793,1777992391.462669,0.000000,0.004260,0.001065
accel,1777992391.472730,26354.443977,1777992391.472730,0.431493,-9.129991,1.255251
gyro,1777992391.472674,26354.443977,1777992391.472674,0.002662,0.003728,-0.005325
accel,1777992391.484466,26354.455083,1777992391.484466,0.411879,-9.110377,1.255251
gyro,1777992391.482679,26354.455083,1777992391.482679,0.004793,0.001597,-0.002129
accel,1777992391.496203,26354.466212,1777992391.496203,0.411879,-9.110377,1.235638
gyro,1777992391.497686,26354.466212,1777992391.497686,-0.005859,0.000000,-0.003728
accel,1777992391.507940,26354.477445,1777992391.507940,0.451106,-9.110377,1.235638
gyro,1777992391.507692,26354.477445,1777992391.507692,0.000532,0.000532,-0.004260
accel,1777992391.519675,26354.488457,1777992391.519675,0.431493,-9.129991,1.235638
gyro,1777992391.517696,26354.488457,1777992391.517696,0.001065,0.002662,-0.001597
accel,1777992391.527500,26354.499582,1777992391.527500,0.431493,-9.110377,1.255251
gyro,1777992391.527701,26354.499582,1777992391.527701,0.000532,0.003196,0.000532
accel,1777992391.539238,26354.510855,1777992391.539238,0.431493,-9.129991,1.235638
gyro,1777992391.537706,26354.510855,1777992391.537706,0.000000,0.001597,-0.001065
accel,1777992391.550974,26354.521810,1777992391.550974,0.411879,-9.110377,1.235638
gyro,1777992391.552713,26354.521810,1777992391.552713,0.000532,0.000000,0.003196
accel,1777992391.562711,26354.532924,1777992391.562711,0.431493,-9.149604,1.255251
gyro,1777992391.562719,26354.532924,1777992391.562719,0.000532,0.005859,-0.001597
